ID,Class
6284,A
6285,E
6286,R
6287,O
6288,D
6289,E
6290,O
6291,a
6292,B
6293,H
6294,N
6295,r
6296,R
6297,H
6298,e
6299,A
6300,A
6301,N
6302,A
6303,S
6304,M
6305,n
6306,A
6307,R
6308,R
6309,S
6310,E
6311,O
6312,n
6313,r
6314,A
6315,w
6316,e
6317,U
6318,I
6319,A
6320,L
6321,O
6322,y
6323,i
6324,W
6325,I
6326,R
6327,A
6328,R
6329,1
6330,O
6331,A
6332,i
6333,v
6334,e
6335,E
6336,i
6337,e
6338,N
6339,O
6340,O
6341,E
6342,A
6343,M
6344,O
6345,n
6346,E
6347,0
6348,H
6349,n
6350,O
6351,S
6352,H
6353,I
6354,O
6355,L
6356,o
6357,J
6358,r
6359,N
6360,N
6361,W
6362,S
6363,N
6364,A
6365,M
6366,I
6367,R
6368,R
6369,I
6370,Y
6371,A
6372,N
6373,H
6374,H
6375,E
6376,E
6377,A
6378,n
6379,s
6380,T
6381,M
6382,o
6383,E
6384,R
6385,R
6386,S
6387,E
6388,n
6389,O
6390,A
6391,E
6392,T
6393,O
6394,A
6395,E
6396,1
6397,T
6398,S
6399,A
6400,r
6401,S
6402,A
6403,E
6404,R
6405,G
6406,A
6407,T
6408,I
6409,5
6410,N
6411,o
6412,L
6413,O
6414,R
6415,A
6416,N
6417,O
6418,P
6419,N
6420,s
6421,e
6422,O
6423,N
6424,S
6425,R
6426,L
6427,A
6428,n
6429,D
6430,W
6431,R
6432,o
6433,S
6434,S
6435,O
6436,i
6437,T
6438,C
6439,e
6440,S
6441,D
6442,E
6443,n
6444,s
6445,I
6446,E
6447,T
6448,R
6449,A
6450,T
6451,L
6452,e
6453,R
6454,R
6455,C
6456,R
6457,B
6458,I
6459,T
6460,U
6461,N
6462,A
6463,G
6464,R
6465,C
6466,S
6467,C
6468,A
6469,A
6470,u
6471,H
6472,A
6473,S
6474,E
6475,N
6476,A
6477,H
6478,D
6479,A
6480,X
6481,R
6482,e
6483,T
6484,D
6485,H
6486,N
6487,E
6488,L
6489,M
6490,o
6491,O
6492,P
